,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
1210,25001.0,38655,600.0,7.1,95755,2215
1211,25003.0,22822,345.0,9.9,56091,1190
1212,25005.0,10026,169.0,11.5,213010,8375
1213,25007.0,43309,653.0,6.1,7368,125
1214,25009.0,31080,413.0,11.2,285956,11902
1215,25011.0,168380,2263.0,10.7,30462,681
1216,25013.0,4106,0.0,16.1,179927,7367
1217,25015.0,235947,2879.0,10.7,58702,1239
1218,25017.0,13078,163.0,7.9,580688,18379
1219,25019.0,155085,1897.0,3.7,4229,51
1220,25021.0,35540,382.0,7.1,257914,8501
1221,25023.0,399943,4270.0,7.5,181126,8301
1222,25025.0,3719,0.0,17.9,292767,10808
1223,25027.0,131813,1762.0,10.3,303080,10589
1224,26001.0,248866,2072.0,15.6,5089,121
1225,26003.0,170448,26.0,12.3,3898,82
1226,26005.0,221053,2737.0,7.9,42018,1236
1227,26007.0,1832,74.0,15.7,12791,244
1228,26009.0,2120,15.0,10.6,9890,260
1229,26011.0,30277,373.0,13.7,6701,152
1230,26013.0,6099,145.0,14.6,3444,66
1231,26015.0,4942,71.0,8.9,22551,679
1232,26017.0,3588,76.0,15.6,44603,1124
1233,26019.0,2511,58.0,11.1,7298,179
1234,26021.0,15769,177.0,15.1,63054,2187
1235,26023.0,29974,620.0,12.7,16419,499
1236,26025.0,3900,74.0,14.9,54016,1798
1237,26027.0,38925,609.0,11.3,20604,762
1238,26029.0,13401,220.0,9.5,10882,260
1239,26031.0,39109,612.0,12.1,11133,240
1240,26033.0,12176,154.0,15.9,14329,320
1241,26035.0,5517,61.0,19.6,12966,374
1242,26037.0,5328,120.0,7.6,28766,613
1243,26039.0,12687,124.0,16.1,6016,143
1244,26041.0,7590,162.0,13.2,15992,253
1245,26043.0,24981,215.0,10.6,11359,167
1246,26045.0,2962,35.0,8.0,43494,1189
1247,26047.0,11230,165.0,10.9,13601,287
1248,26049.0,8432,116.0,16.9,169202,6617
1249,26051.0,31431,427.0,15.0,10753,292
1250,26053.0,7153,96.0,16.0,7037,84
1251,26055.0,115601,1838.0,9.8,35328,711
1252,26057.0,6205,123.0,14.8,14852,350
1253,26059.0,3818,73.0,13.6,17792,532
1254,26061.0,19920,249.0,19.9,14232,159
1255,26063.0,14829,199.0,12.5,14348,234
1256,26065.0,11691,210.0,16.6,111162,2889
1257,26067.0,8923,103.0,10.0,22144,695
1258,26069.0,9136,149.0,14.7,11757,245
1259,26071.0,76025,818.0,14.7,5577,60
1260,26073.0,21391,190.0,22.9,25586,489
1261,26075.0,5307,156.0,12.4,60771,2108
1262,26077.0,3217,88.0,13.8,100610,2314
1263,26079.0,17014,222.0,14.1,6962,189
1264,26081.0,50547,629.0,10.3,227239,6961
1265,26083.0,69654,711.0,8.2,1013,8
1266,26085.0,4153,65.0,18.2,5158,118
1267,26087.0,188487,1632.0,10.2,32776,1154
1268,26089.0,612,13.0,6.1,9255,159
1269,26091.0,2197,39.0,10.9,37514,1224
1270,26093.0,22838,439.0,4.9,67380,1769
1271,26095.0,4114,62.0,16.6,2412,50
1272,26097.0,29469,342.0,15.3,5024,111
1273,26099.0,52993,485.0,9.9,331667,11450
1274,26101.0,2461,17.0,10.8,10308,226
1275,26103.0,2794,33.0,14.8,27538,392
1276,26105.0,270435,4171.0,13.3,11940,296
1277,26107.0,5058,97.0,18.6,16101,355
